,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
243,244,NCT00773669,Male Breast Cancer Summa Health System/Akron City Hospital Experience 1995-2007,Breast Cancer,Observational,"Inclusion Criteria:

Male breast cancer patients diagnosed and/or treated at Summa Health System/Akron City Hospital from the reference year of 1995 through 2007.",24,,,,,18 Years,80 Years,Completed,,,,Summa Health System,,October 2008,
244,245,NCT03617341,Brain Monitoring for High Risk of Brain Metastases in Metastatic Breast Cancer,Metastatic Breast Cancer With HER2 Positive,Observational,"Inclusion Criteria:

Patients over 19 years

Pathologically documented breast cancer that:

is unresectable or metastatic ;
has confirmed HER2 positive expression according to American Society of Clinical Oncology- College of American Pathologists (ASCO-CAP) guidelines or triple negative breast cancer
No prior systemic palliative treatment of metastatic breast cancer
Must have provided informed consent for study participation before performance of any study-specific procedures or tests

Exclusion Criteria:

History of prior treatments about brain metastases or leptomeningeal metastases
Symptomatic brain metastases at screening period
Has received more than second-line systemic treatments (including endocrine therapy)
For subjects who have difficulty lying down or who have claustrophobia, they can undergo sedation during brain MRI
History of hypersensitivity reaction to contrast or drug allergic reaction
Patients who inserted metallic prosthesis (pacemaker, denture, hearing aid, aneurysm clip, metallic material of eyeball, artificial joint, insulin pump, chemo-port, temporary tissue expander for breast reconstruction, etc) can be conducted after consultation with investigator before MRI.
Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
Social, familial, or geographical factors that would interfere with study participation or follow-up",200,Seoul,"Korea, Republic of",,03722,19 Years,,Recruiting,,,,Yonsei University,Brain MRI,"October 2, 2018","Joohyuk Sohn, MD, Ph.D"
245,246,NCT00647790,Positron Emission Tomography (PET) Using Hormone Receptor Ligands in Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

Male and Female patients
Aged 18 or older at the time of breast cancer diagnosis
Patients with invasive breast cancer at least 1 cm in size. Patients who have had a prior surgical excision are eligible provided there is a residual of at least a 1 cm area suspected on imaging studies.
Histopathologic review at MSKCC confirming diagnosis of invasive breast cancer (ductal, lobular, or inflammatory breast cancer).
Patients who are operative candidates. Patient will have surgery to include either mastectomy or lumpectomy. Radiologic assisted excisions such as needle localization are also eligible.
Patients with bilateral breast cancer are eligible.
Patients with metastatic cancer, provided they need surgical biopsy.
Patients who are undergoing sentinel node mapping (day before or sameday mapping).
Patient must sign informed consent.

Exclusion Criteria:

Previous or concurrent malignancy (except basal and squamous skin cancer and stage 0 cervical cancer)
Patients who are pregnant or nursing
Patients unable to tolerate PET or PET/CT
Patients with known active infection, autoimmune or inflammatory disease such as sarcoidosis, and rheumatoid arthritis.
Patients with non invasive breast cancer such as DCIS.
Patients who have received prior radiation therapy to the affected breast.
Patients who have received prior chemotherapy, including neoadjuvant chemotherapy or hormonal therapy for breast cancer.
Patients living in a residential care or correctional facility.",79,New York,United States,New York,10065,18 Years,,Completed,,,,Memorial Sloan Kettering Cancer Center,PET scan with injection of 5-8 mCi of 18FES,November 2006,
246,247,NCT03620643,"Crizotinib in Lobular Breast, Diffuse Gastric and Triple Negative Lobular Breast Cancer or CDH1-mutated Solid Tumours",Lobular Breast Carcinoma,Interventional,"Inclusion Criteria:

- Patients with histological diagnosis of E-cadherin negative inoperable or metastatic diffuse gastric cancer (basket cohort), Or inoperable or metastatic triple negative lobular breast cancer (basket cohort) Or inoperable or metastatic CDH1-mutated solid tumour with allele fraction ≥20% (basket cohort) Or recurrent inoperable locally advanced ER positive/HER2 negative lobular breast cancer (breast cohort).

Assessment of E-cadherin, ER and HER2 status as per local assessment.

- Lobular breast cancer patients previously treated with at least one prior line of therapy including at least one prior line of hormone therapy for advanced disease, but no more than three prior lines of chemotherapy for advanced disease.

Gastric cancer, triple negative lobular breast cancer or CDH1-mutated solid tumour patients previously treated with at least one prior therapy for advanced disease OR relapsing within one year of completing (neo) adjuvant chemotherapy OR unsuitable for chemotherapy in the opinion of the investigator (for example patient choice not to have chemotherapy, or no suitable chemotherapy agent).

Measurable disease (RECIST 1.1)
Haematological and biochemical indices within the ranges shown in protocol. These measurements must be performed within one week (Day -7 to Day 1) before the patient goes in the trial.
Female patients with child-bearing potential must have a negative urine or serum pregnancy test within 7 days prior to start of trial. Both male and female patients of reproductive potential must agree to use two forms of highly effective contraception (see below) for 2 weeks before starting the study treatment, throughout the treatment period and for 90 days after discontinuation of treatment with crizotinib and 2 years after the last dose of fulvestrant.

NOTE: it is only considered highly effective if the patient is refraining from sexual intercourse during the entire period of risk associated with the study treatments

The oral contraceptive pill may be ineffective when taken with crizotinib so is not an acceptable means of contraception for female patients during this study but can be used by female partners of male patients.

18 years of age or over with written (signed and dated) informed consent and be capable of co-operating with treatment and follow-up.
World Health Organisation (WHO) performance status 0,1 or 2
Estimated life expectancy of at least 3 months in the opinion of the investigator
Pre-/peri-menopausal ER+ lobular breast cancer patients must be willing to receive gosarelin injections every 28 days.
Signed and dated informed consent.
Patients willing and able to comply with scheduled visits, treatment plans, laboratory tests, and other procedures.

Exclusion Criteria:

Systemic chemotherapy or investigational medicinal products during the previous four weeks, or hormonal therapy within 7 days except luteinizing hormone-releasing hormone (LHRH) analogues for ovarian suppression. Bisphosphonates or RANK ligand antagonists are permitted for the management of bone metastases.
Previous treatment with any agent that inhibits ROS1
Mixed ductal/lobular breast cancer, unless both ductal and lobular components are CDH1 negative by local assessment
Major surgery (excluding minor procedures, e.g. placement of vascular access) within 4 weeks or radiation therapy within 14 days prior to study entry
Patients with known symptomatic brain metastases requiring steroids, untreated brain metastases or spinal cord compression
Any of the following within 12 months prior to study entry: myocardial infarction, uncontrolled angina, coronary/peripheral artery bypass graft, symptomatic congestive heart failure, cerebrovascular accident, or transient ischemic attack. Uncontrolled hypertension or cardiac dysrhythmia including atrial fibrillation.
QT interval, corrected >470 ms or the use of bradycardic agents, drugs which prolong the QT interval and/or anti-arrhythmic agents within 12 days before the first dose of crizotinib or during study treatment.
Use of drugs that are known potent cytochrome P450 (CYP) 3A4 inhibitors or moderate or strong CYP 3A4 inducers within 12 days before the first dose of crizotinib. Us of CYP3A4 substrates with a narrow therapeutic index (such as ciclosporin) is also not permitted within 12 days prior or during the study treatment.
Patients on warfarin. Patients requiring anticoagulation for rate-controlled AF or previous venous thromboembolism should be switched to low-molecular weight heparin.
Known HIV or AIDS-related illness, active infection requiring systemic therapy, or positive HBV or HCV test indicating acute or chronic infection.
Inability or unwillingness to swallow pills, or (for patients receiving fulvestrant) receive IM injections.
Other severe acute or chronic medical condition or psychiatric condition, recent or active suicidal ideation or behaviour, or end stage renal disease on haemodialysis, or laboratory abnormality that may increase the risk associated with study participation or investigational products administration or may interfere with the interpretation of results and, in the judgment of the Investigator, would make the patient inappropriate study entry.
Persisting toxicity related to prior therapy >Grade 1 (except for stable peripheral neuropathy grade ≤2 or alopecia grade ≤2).
Pregnancy or lactation.
Diagnosis of other malignancy within 5 years, except for adequately treated basal cell or squamous cell skin cancer, or carcinoma in situ of the breast or cervix, or low-grade (Gleason ≤6) prostate cancer.
Is a participant or plans to participate in another interventional clinical trial, whilst taking part in this study. Participation in an observational trial would be acceptable.
Immunocompromised status due to current known active infection with HIV or due to the use of immunosuppressive therapies for other conditions
Known prior or suspected hypersensitivity to investigational products or to any of the excipients.
Patients at risk for gastrointestinal perforation (due to e.g., history of diverticulitis).
Any other condition which in the Investigator's opinion would not make the patient a good candidate for the clinical trial.",58,Glasgow,United Kingdom,,SW3 6JJ,18 Years,,Recruiting,Phase 2,,,Royal Marsden NHS Foundation Trust,Crizotinib Oral Capsule [Xalkori],"May 9, 2019",Houman Moghadam
247,248,NCT00193778,Assessing Impact of Loco-regional Treatment on Survival in Metastatic Breast Cancer at Presentation,Cancer of the Breast,Interventional,"Inclusion Criteria:

Metastatic breast cancer at first presentation with an expected survival of at least one year

Exclusion Criteria:

Patients who are not fit to receive anthracycline based chemotherapy.
More than two visceral organ involvement.
Multiple liver metastases with deranged liver function tests (SGOT/SGPT more than four times the upper normal limit).
Locally static or progressive disease or systemically progressive disease as shown by repeat staging investigations guided by worsening symptoms.
Ulceration/ fungation/ bleeding after completion of chemotherapy, which mandates surgery.
Expected survival of less than six months after completion of chemotherapy.
Unfit for anaesthesia due to metastatic disease.",350,Mumbai,India,Maharashtra,400 012,21 Years,65 Years,Completed,Not Applicable,Dr Rajendra A. Badwe,Tata Memorial Centre,Tata Memorial Hospital,Surgery for breast cancer,February 2005,
248,249,NCT01938157,Diffusion Weighted MR Imaging of the Breasts in Women at High Risk of Breast Cancer: A Pilot Study,Breast Cancer,Interventional,"Inclusion Criteria

Women at high-risk of breast cancer with an order for a clinical screening breast MRI.
Asymptomatic women.
Able to provide informed consent.
At least 21 years of age.

Exclusion Criteria

Women with symptom such as palpable mass or nipple discharge.
Women with MRI/MRA contraindications such as a cardiac pacemaker, and aneurysm clip, cochlear implants, and metal in the eyes.
Women who have had a moderate or severe contrast reaction to intravenous gadolinium-DTPA.
Women who are not able to give consent.
Women diagnosed with breast cancer within the last 6 months.
Women who are pregnant.
Male patients.",55,Chapel Hill,United States,North Carolina,27599,21 Years,,Completed,Not Applicable,,,"University of North Carolina, Chapel Hill",Diffusion-weighted MR imaging,August 2013,
249,250,NCT02210546,Contrast-enhanced MR Imaging as a Breast Cancer Screening in Women at Intermediate Risk,Breast Cancer,Interventional,"Inclusion Criteria:

Women aged 40-59 years with
cumulative risk at 10 years of at least 5%, or a lifetime cumulative breast cancer risk ranging between 15% and 30% (equivalent to a relative risk of 2-6 as compared to a low risk woman of the same age). The lifetime cumulative risk of breast cancer will be computed using the IBIS Breast Cancer Risk Evaluation Tool (http://www.ems-trials.org/riskevaluator/); or mammographic density involving more than 75% of the breast area, based on the most recent mammogram. The evaluation of the composition of the mammary gland will be performed using the BI-RADS classification. Women with mammography in class 4 (i.e., >75% of glandular component) will be eligible for randomization.
Written Informed consent

Exclusion Criteria:

Signs or symptoms of breast cancer at enrolment;
Previous diagnosis of ductal carcinoma in situ or invasive breast cancer;
BRCA or p53 mutation carrier status;
General contraindications to MRI (e.g. cardiac pacemaker, metal implants or history of severe allergic reaction after administration of contrast agent;
Contraindications to any intravenous administration of contrast agent;
Ongoing or planned pregnancy (for the duration of the study);
Hormonal enhancement of ovarian function for assisted reproduction in the previous 3 years
Presence of breast implants;
Previous diagnosis of cancer at any site;
Life-threatening diseases;
Mental disability precluding informed consent to participate",2000,Genova,Italy,,16132,40 Years,59 Years,Unknown status,Not Applicable,Prof. Paolo Bruzzi,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",Prof. Paolo Bruzzi,Magnetic Resonance Imaging (MRI),May 2013,"Paolo Bruzzi, MD"
250,251,NCT02823262,A Breast Cancer Treatment Decision Aid for Women Aged 70 and Older,Breast Cancer,Interventional,"Inclusion Criteria:

Phase I

Patient age ≥ 70 yrs
Female patient diagnosed with a first primary ER+, HER2-, LN-, 3cm or less breast cancer >6 months ago but <2 years ago
Caregiver age >21 years
English speaking

Phase II

Female patient age ≥ 70 yrs newly diagnosed with a first primary ER+, HER2-, LN-, 3cm or less breast cancer
Women newly diagnosed with breast cancer on the day of surgical consult

Exclusion Criteria:

Phase I

Patient Age < 70 years
Women diagnosed with Paget's disease, inflammatory breast cancer or a phyllodes tumor
Signs of Dementia
Score >10 on the Orientation-Memory-Concentration (OMC) test
Non-English Speaking;
Caregiver age < 21 years
Women who do not have capacity to participate. --- Before enrolling women in this study, possible participants will be asked 7 questions about the benefits and risks of the study. Women that answer 3 or more of these questions incorrectly will be excluded.

Phase II

Women with a history of breast cancer (invasive and non-invasive)
Diagnosed with Paget's disease, inflammatory breast cancer or a phyllodes tumor
Signs of Dementia
Score >10 on the OMC test (indicative of dementia).
Women who do not have capacity to participate. --- Before enrolling women in this study, possible participants will be asked 7 questions about the benefits and risks of the study. Women that answer 3 or more of these questions incorrectly will be excluded.",312,Boston,United States,Massachusetts,02115,70 Years,,Recruiting,Not Applicable,Mara Schonberg,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,Breast Cancer Treatment Decision Aid for women 70+,July 2016,"Mara Schonberg, MD MPH"
251,252,NCT04966923,Phenotype and Prognosis of Patients With Breast Cancer and Pathogenic Variants of TP53,Breast Cancer,Observational,"Inclusion Criteria:

Breast cancer (histopathological diagnosis of localized invasive carcinoma or in situ carcinoma of the breast) and documented germline pathogenic variants of TP53.

Exclusion Criteria:

Patients with only other types of breast cancer such as sarcoma and phyllodes tumor were excluded from the analysis.",135,São Paulo,Brazil,,,18 Years,,Recruiting,,,,Instituto do Cancer do Estado de São Paulo,No intervention in this study,"December 2, 2018",
252,253,NCT02663973,Prospective Evaluation of Breast Cancer at Brazilian Institutions - Project AMAZONA III,Breast Cancer,Observational,"Inclusion Criteria:

Woman ≥ 18 years old
Invasive breast cancer stage I to IV proven by histology or cytology
Patients with new pathological diagnosis of invasive primary BC after the site activation date
Pathological diagnosis of invasive breast cancer during recruitment (6 months before center activation or until 3000 patients included)
New primary cancer on the same breast or contralateral breast.
Patient's medical chart is available and adequate for data collection
Patient properly signed the informed consent form",3000,Salvador,Brazil,Bahia,,18 Years,,Completed,,,,Latin American Cooperative Oncology Group,,"January 1, 2016",
253,254,NCT05051631,BRAVE Strategy - Breast Cancer Risk Assessment -achieVing Equity,Breast Cancer,Interventional,"Inclusion Criteria:

ages 25-49

Exclusion Criteria:

personal history of breast cancer",500,Nashville,United States,Tennessee,37232,25 Years,49 Years,Not yet recruiting,Not Applicable,Lucy Spalluto,Vanderbilt University Medical Center,Vanderbilt University Medical Center,Intervention plus 12 months maintenance,"January 31, 2022","Lucy B Spalluto, MD MPH"
254,255,NCT00553410,"Letrozole in Preventing Cancer in Postmenopausal Women Who Have Received 4-6 Years of Hormone Therapy for Hormone Receptor-Positive, Lymph Node-Positive, Early-Stage Breast Cancer",Breast Cancer,Interventional,"DISEASE CHARACTERISTICS:

Confirmed diagnosis of prior operable, noninflammatory breast cancer meeting the following criteria:

Steroid hormone receptor-positive tumors (estrogen receptor and/or progesterone receptor), determined by immunohistochemistry, after primary surgery and before commencement of prior endocrine therapy
Prior local treatment including surgery with or without radiotherapy for primary breast cancer with no known clinical residual loco-regional disease
Following primary surgery, eligible patients must have had evidence of lymph node involvement either in the axillary or internal mammary nodes, but not supraclavicular nodes
Clinically disease-free

Must have completed 4-6 years of prior adjuvant selective estrogen receptor modulators (SERMs), aromatase inhibitors (AIs), or a sequential combination of both

When calculating 4-6 years, neoadjuvant endocrine therapy should not be included
No evidence of recurrent disease or distant metastatic disease
No prior bilateral breast cancer

PATIENT CHARACTERISTICS:

Female

Must be postmenopausal by any of the following criteria:

Patients of any age who have had a bilateral oophorectomy (including radiation castration AND amenorrheic for > 3 months)
Patients 56 years old or older with any evidence of ovarian function must have biochemical evidence of definite postmenopausal status (defined as estradiol, luteinizing hormone [LH], and follicle-stimulating hormone [FSH] in the postmenopausal range)

Patients 55 years old or younger must have biochemical evidence of definite postmenopausal status (defined as estradiol, LH, and FSH in the postmenopausal range)

Patients who have received prior luteinizing-hormone releasing-hormone (LHRH) analogues within the last year are eligible if they have definite evidence of postmenopausal status as defined above
Clinically adequate hepatic function
No bone fracture due to osteoporosis at any time during the 4-6 years of prior therapy
No prior or current malignancy except adequately treated basal cell or squamous cell carcinoma of the skin, in situ carcinoma of the cervix or bladder, or contra- or ipsilateral in situ breast carcinoma
No other nonmalignant systemic diseases (cardiovascular, renal, lung, etc.) that would prevent prolonged follow-up
No psychiatric, addictive, or any other disorder that compromises compliance with protocol requirements

PRIOR CONCURRENT THERAPY:

See Disease Characteristics
More than 12 months since prior and no other concurrent endocrine SERM/AI therapy

Any type of prior adjuvant therapy allowed including, but not limited to, any of the following:

Neoadjuvant chemotherapy
Neoadjuvant endocrine therapy
Adjuvant chemotherapy
Trastuzumab (Herceptin®)
Ovarian ablation
Gonadotropin releasing hormone analogues
Lapatinib ditosylate
No concurrent hormone-replacement therapy, bisphosphonates (except for treatment of bone loss), or any other investigational agent",4884,Boston,United States,Massachusetts,02115,18 Years,120 Years,Completed,Phase 3,,,International Breast Cancer Study Group,Letrozole,August 2007,
255,256,NCT02610621,Safety and Efficacy of Sentinel Node Biopsy Omission for Breast Cancer Patients Who Plan to Have Adjuvant Chemotherapy,Breast Cancer,Interventional,"Inclusion Criteria:

Female age 18 and older, not pregnant or lactating
Clinical T1 or T2 invasive cancer with no suspicious palpable adenopathy
If abnormal axillary nodes are seen on preoperative imaging, a negative fine needle aspiration or core biopsy is required for study entry.
Planned treatment with breast conserving surgery and whole breast irradiation
Chemotherapy required postoperatively based on patient and tumor characteristics at diagnosis

Exclusion Criteria:

Patients with suspicious palpable axillary adenopathy
Patients with biopsy demonstrating axillary nodal metastases
Patients with treatment by mastectomy
Patients who have undergone neoadjuvant chemotherapy
Patients with co-morbidities rendering the patient not a candidate for chemotherapy, surgery, or irradiation
Patients treated with accelerated partial breast irradiation (APBI)
Patients with contraindication to radiation",0,Los Angeles,United States,California,90048,18 Years,,Withdrawn,Phase 2,Armando Giuliano,Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,Lumpectomy without sentinel node biopsy,December 2015,
256,257,NCT03656731,Exercise in Older Women With Breast Cancer During Systemic Therapy,Breast Cancer,Interventional,"Inclusion Criteria:

Participants must:

Be operated for primary breast cancer within 12 weeks or
Be diagnosed with locally advanced or metastatic breast cancer. Be treated with (neo)adjuvant or first or second-line palliative therapy defined as chemotherapy ± HER2 directed treatment, ± antihormonal treatment, antihormonal treatment ± HER 2, directed treatment ± CDK 4/6 inhibitor.
Be ≥ 65 years of age at the time of signing the informed consent form
Have an Eastern Cooperative Oncology Group (ECOG) performance status score ≤ 2
Be able to speak and read Danish, and to provide a signed informed consent form.

Exclusion Criteria:

Participants with:

Any physical condition that hinder the execution of physical exercise training
Other types of cancer
Documented and uncontrolled brain metastases that hinder participation in an exercise-based trial, based on the referring oncologist's assessment
Dementia, psychotic disorders, or other cognitive diseases or conditions that hinder written consent
Unstable medical disease or history of serious or concurrent illness; any medical condition that might be aggravated by exercise training or that cannot be controlled, including, but not restricted congestive heart failure (NYHA class III-IV), unstable angina pectoris, implantable cardioverter defibrillator (ICD), or myocardial infarction within 6 months, based on the referring oncologist's assessment.

In patients with documented bone metastases:

- A bone metastatic burden or location that poses a risk of injury in the performance of exercise training, as assessed by the referring oncologist.",100,Herlev,Denmark,Copenhagen,2730,65 Years,,Unknown status,Not Applicable,Cecilia Margareta Lund,Herlev and Gentofte Hospital,Herlev and Gentofte Hospital,Breast cancer exercise intervention,"November 15, 2018","Cecilia Lund, MD, PhD"
257,258,NCT01715155,Management of Metastatic Breast Cancer in Clinical Practice - Retrospective Study,Metastatic Breast Cancer,Observational,"Inclusion Criteria:

New diagnosis of breast cancer according to ICD-10 with confirmed metastasis
Confirmed diagnosis between 1st July 2010 and 30th June 2011.
Female patient managed for her disease at the same setting where final diagnosis of MBC was performed.

Exclusion Criteria:

History of concurrent or other primary malignancies (except curatively resected non-melanoma skin cancer or in situ cervical cancer).",171,Pleven,Bulgaria,,,18 Years,,Completed,,,,AstraZeneca,,December 2012,
258,259,NCT03820830,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer,Breast Cancer Recurrent,Interventional,"Inclusion Criteria:

Histologically confirmed invasive breast cancer, defined as first proven ipsilateral local and/or regional recurrence of a primary invasive breast cancer in at least one of these sites:

breast;
the chest wall including mastectomy scar and/or skin;
axillary or internal mammary lymph nodes.

Completion of locoregional therapy:

completion of gross excision of recurrence within 6 months prior to randomization;
completion of radiotherapy (if given) more than 2 weeks prior to randomization
Negative or microscopically involved margins
Female or male aged 18 years or older
ECOG performance status 0 or 1
Recurrent tumor must be hormone receptor positive: ER+ and/or PgR+ ≥1% by IHC
Recurrent tumor must be HER2-negative (0, 1+, 2+ by IHC and/or ISH/FISH not amplified).Tumor with HER2 status 2+ by IHC must also be negative (not amplified) by ISH/FISH

8.-10. Normal hematological, renal, and liver function 11. The patient agrees to make tumor (diagnostic core biopsy or surgical specimen of ipsilateral isolated locoregional recurrence) available for submission for central pathology review 12. Patients must either be planned to initiate, or have already started, endocrine therapy for ipsilateral isolated locoregional recurrence 13.) Written Informed Consent prior to randomization

Exclusion Criteria:

Recurrence of any size with direct extension to the chest wall and/or to the skin (ulceration or skin nodules) not surgically removable
Evidence of distant metastasis as based on conventional staging examinations (physical, chest X-ray or CT, abdominal ultrasound or CT, bone scintigraphy or FDG-PET-CT).
Bilateral synchronous or metachronous invasive breast cancer (in situ carcinoma of the contralateral breast is allowed)
Inflammatory breast cancer

Patients with a history of malignancy, other than invasive breast cancer, with the following exceptions:

Patients diagnosed, treated and disease-free for at least 5 years and deemed by the investigator to be at low risk for recurrence of that malignancy are eligible.
Patients with the following malignancies are eligible, even if diagnosed and treated within the past 5 years: ductal carcinoma in situ of the breast; cervical cancer in situ; thyroid cancer in situ; non-metastatic, non-melanomatous skin cancers.
Previous treatment with palbociclib or any other CDK 4/6 inhibitors
Previous or planned chemotherapy or planned radiotherapy for the ipsilateral isolated locoregional recurrence (radiotherapy is allowed, but must be completed more than 2 weeks prior to randomization)
Concurrent disease or condition that would make the patient inappropriate for study participation or any serious medical disorder that would interfere with the patient's safety
Pregnant or lactating women; lactation has to stop before randomization
Patients with psychiatric illness/social situations that would limit compliance with study requirements
Contraindications or known hypersensitivity to the palbociclib or excipients
History of extensive disseminated/bilateral or known presence of interstitial fibrosis or interstitial lung disease, including a history of pneumonitis, hypersensitivity pneumonitis, interstitial pneumonia, obliterative bronchiolitis, and pulmonary fibrosis. A history of prior radiation pneumonitis is not considered an exclusion criterion.",400,Graz,Austria,Tenerife,84918,18 Years,,Recruiting,Phase 3,,,International Breast Cancer Study Group,Palbociclib 125mg,"August 27, 2019",Holly Shaw
259,260,NCT00555386,"Soy, Selenium and Breast Cancer Risk",Breast Cancer Risk,Interventional,"Inclusion Criteria:

Pre menopausal women (age 35-50)at moderate to high risk of breast cancer based on family history (NICE guidelines)
Attending Breast Clinic at NNUH
Willing to consume 6g of chocolate per day for 25-35 days
Regular menstrual cycle of 25-35 days in length

Exclusion Criteria:

Current or previous diagnosis of breast cancer or cancer of any other site
Diagnosis of hypertension (requiring active treatment)/diabetes/ coronary heart disease/ gastrointestinal disease/ any other systemic disease requiring treatment
Regularly taking any prescribed medication within the last six months (including oral contraceptives)
Fitted with a hormone releasing device
Pregnant or lactating in the previous 12 months
Using laxatives or antacids more than once a week
Routinely taking soy or selenium supplements in the last twelve months
Regularly taking any dietary or herbal supplements in the last six months
Participation in any intervention study (soy or selenium) in the previous twelve months
Parallel participation in another research study involving either dietary or medical intervention or sampling of biological fluids/materials
Blood donation within sixteen weeks of study start/finish
BMI <18.5 or >35
Allergy to any chocolate/dairy/soy-based food products",27,Norwich,United Kingdom,Norfolk,NR4 7UA,35 Years,50 Years,Completed,Not Applicable,,,University of East Anglia,Soy and Selenium,April 2007,
260,261,NCT01726322,Ovarian Reserve in Premenopausal Breast Cancer,Premenopausal Breast Cancer,Observational,"Inclusion Criteria:

Documented histological diagnosis of invasive breast cancer
Patient due to be treated with chemotherapy (neoadjuvant or adjuvant)*
Female patients aged between 18 and 50 years

Premenopausal status as defined by a hormone profile within the pre-menopausal range as defined by local lab

OR The patient's last menstrual period had to be within the last 180 days

OR An IUD is used for contraception.

Ability to provide written informed consent

Patients treated with GNRH agonist or adjuvant Herceptin or participating in other clinical trials are also eligible

Exclusion Criteria:

Patients with hypothalamic/pituitary disorder
History of ovarian tumour
Current pregnancy",250,Dublin,Ireland,Dublin 18,Co,18 Years,50 Years,"Active, not recruiting",,,,Cancer Trials Ireland,,September 2012,
261,262,NCT04379908,Healthy Lifestyles and Quality of Life in Women With Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

Women who participated in the case cohort in the epiGEICAM-01 clinical epidemiological study
Capable and willing women to provide their written informed consent. If the patient has died, the biological sample and clinical data may be analyzed in those cases in which there is no express opposition from the patient or her relatives for participation in this type of study. The document of previous instructions will be consulted and, failing that, the criteria of the closest relative of the deceased will be recorded.
Capable and willing women to complete the questionnaires provided in the study (except deceased).

Exclusion Criteria: None",801,Terrassa,Spain,Barcelona,08221,18 Years,,Completed,,,,Spanish Breast Cancer Research Group,,"November 7, 2017",
262,263,NCT02352025,S-equol in Women With Triple Negative Breast Cancer,Breast Cancer,Interventional,"Inclusion Criteria:

Participants must be women who are 18 years old or older.
Ability to consent to treatment - patients or their legally authorized representative must be informed of the investigational nature of this study and must sign and give written informed consent in accordance with institutional and federal guidelines.
Previously untreated breast cancer determined by a core needle biopsy showing invasive ductal carcinoma or invasive lobular carcinoma.
A prior, unrelated, breast cancer is allowed.
All stages of breast cancer are eligible.
Estrogen receptor negative - defined as less than or equal to 5% staining by IHC.
Progesterone receptor negative - defined as less than or equal to 5% staining by IHC.
HER 2 negative as defined as 2+ or less using IHC or a ratio of less than 2.0 on FISH testing.
Patient must be able to take oral medications. Patients may not have any impairment of gastrointestinal function or gastrointestinal disease that may significantly alter the absorption of the study drug.
Patients may not be pregnant or breast feeding.
Patients must with eligible for surgical resection of their breast cancer or repeat biopsy after completing 14 days of treatment.
Patients must have a complete history and physical examination within 28 days prior to registration.
Patients must have a performance status of ECOG 0, 1, 2.
Patient may not be concurrently enrolled in another investigational drug treatment study.
Tissue block of initial biopsy specimen is available.

Exclusion Criteria:

Known hypersensitivity to S-equol or any of its excipients.
ECOG status 3 or 4.
As judged by the investigator, severe uncontrolled concurrent medical conditions, psychiatric illness or social condition that would limit compliance with study requirements.
Evidence of any significant clinical disorder or laboratory finding that makes it undesirable for the subject to participant in the clinical trial.
Any prior treatment for the current, newly diagnosed breast cancer.
Current use of SERMS or aromatase inhibitors.
Inflammatory breast cancer or patients with rapidly progressing metastatic breast cancer",39,San Antonio,United States,Texas,78229,18 Years,,Completed,Early Phase 1,,,The University of Texas Health Science Center at San Antonio,S-equol,"April 15, 2015",
